Name,Gym,Weight,Rank,latitude,longitude
Zhang Weili,Bangtao,Women's Strawweight,Champion,7.985935711,98.29165979
Bryce Mitchell,Barata MMA,Featherweight,13,35.25121474,-91.72310397
Arnold Allen,BKK Fighters,Featherweight,5,51.88563525,0.928578759
Tabatha Ricci,Black House MMA,Women's Strawweight,11,33.87664036,-118.353305
Jamahal Hill,Black Lion BJJ,Light Heavyweight,3,42.84320134,-85.67975043
Manon Fiorot,Boxing Squad Nice,Women's Flyweight,2,43.71036278,7.194066414
Viviane Araújo,Cerrado MMA,Women's Flyweight,10,-15.77467307,-47.87227881
Chelsea Chandler,Cesar Gracie Jiu-Jitsu,Women's Bantamweight,14,37.98658084,-121.9374198
Charles Oliveira,Chute Boxe,Lightweight,2,-23.60238306,-46.68615895
Deiveson Figueiredo,Chute Boxe,Bantamweight,6,-23.60238306,-46.68615895
Ian Machado Garry,Chute Boxe,Welterweight,7,-23.60238306,-46.68615895
Carlos Ulberg,City Kickboxing,Light Heavyweight,10,-36.865604,174.75294
Dan Hooker,City Kickboxing,Lightweight,11,-36.865604,174.75294
Israel Adesanya,City Kickboxing,Middleweight,2,-36.865604,174.75294
Kai Kara-France,City Kickboxing,Flyweight,4,-36.865604,174.75294
Ilia Topuria,Climent Club,Featherweight,Champion,38.36410212,-0.474362504
Raquel Pennington,Colorado Springs BJJ,Women's Bantamweight,Champion,39.60683,-105.940268
Caio Borralho,Combat Club,Middleweight,12,-23.530178,-46.659576
Dominick Reyes,Corba Kai,Light Heavyweight,13,34.47269465,-117.3398549
Germaine de Randamie,CSA Holland,Women's Bantamweight,15,51.48127727,5.657705189
Asu Almabayev,DAR Team,Flyweight,14,43.20671583,76.85695919
Sergei Pavlovich,UB Gym,Heavyweight,4,55.80878327,37.51262044
Tagir Ulanbekov,Eagles MMA,Flyweight,12,42.97801868,47.51497712
Umar Nurmagomedov,Eagles MMA,Bantamweight,10,42.97801868,47.51497712
Cory Sandhagen,Elevation Fight Team,Bantamweight,2,39.66549815,-104.8644463
Curtis Blaydes,Elevation Fight Team,Heavyweight,5,39.66549815,-104.8644463
Justin Gaethje,Elevation Fight Team,Lightweight,3,39.66549815,-104.8644463
Kamaru Usman,Elevation Fight Team,Welterweight,2,39.66549815,-104.8644463
Neil Magny,Elevation Fight Team,Welterweight,12,39.66549815,-104.8644463
Bruno Silva,Evolucao Thai,Flyweight,13,-25.35408863,-49.20627147
Brandon Royval,Factory X,Flyweight,1,39.63047099,-105.011848
Jonathan Martinez,Factory X,Bantamweight,14,39.63047099,-105.011848
Iasmin Lucindo,Fight House,Women's Strawweight,14,-23.58957787,-46.57835895
Virna Jandiroba,Fight House,Women's Strawweight,3,-23.58957787,-46.57835895
Henry Cejudo,Fight Ready,Bantamweight,5,33.496822,-111.92618
Brandon Moreno,Fortis MMA,Flyweight,2,32.78733641,-96.78554577
Geoff Neal,Fortis MMA,Welterweight,10,32.78733641,-96.78554577
Macy Chiasson,Fortis MMA,Women's Bantamweight,5,32.78733641,-96.78554577
Alexander Volkanovski,Freestyle MMA,Featherweight,1,-34.52983623,150.8851348
Jack Hermansson,Frontline Academy,Middleweight,9,59.9271348,10.72572884
Jailton Almeida,Galpao da Luta,Heavyweight,7,-12.99415121,-38.48974531
Karine Silva,"Gile Ribeiro - Curitiba, Brazil",Women's Flyweight,11,-25.43034523,-49.26036629
Alexander Volkov,Global Fight Gym,Heavyweight,3,55.6955642,37.61780675
Gillian Robertson,Goat Shed,Women's Strawweight,13,25.81033681,-80.19795877
Karolina Kowalkiewicz,Gracie Barra Lodz,Women's Strawweight,15,52.238667,19.661135
Max Holloway,Hawaii Elite MMA,Lightweight,9,21.3999581,-158.0007116
Brian Ortega,Huntington Beach Ultimate Training Center,Featherweight,3,33.70500555,-117.9984101
Holly Holm,Jackson Wink MMA,Women's Bantamweight,7,35.08678511,-106.6422759
Jon Jones,Jackson Wink MMA,Heavyweight,Champion,35.08678511,-106.6422759
Jiří Procházka,JETSAAM GYM,Light Heavyweight,1,49.20596183,16.66168169
Beneil Dariush,Kings MMA,Lightweight,7,33.7161,-117.999588
Giga Chikadze,Kings MMA,Featherweight,10,33.7161,-117.999588
Marvin Vettori,Kings MMA,Middleweight,6,33.7161,-117.999588
Rafael Dos Anjos,Kings MMA,Lightweight,14,33.7161,-117.999588
Alexandr Romanov,Lion Fight Acadamy,Heavyweight,13,47.0408724,28.79315211
Alexa Grasso,Lobo Gym MMA,Women's Flyweight,Champion,20.57232357,-103.4527534
